0.45,0.0,1388,6987,424,0.0607,0.3055
0.45,0.001,1388,6987,424,0.0607,0.3055
0.45,0.002,1388,6987,424,0.0607,0.3055
0.45,0.003,1388,6987,424,0.0607,0.3055
0.45,0.004,1388,6987,424,0.0607,0.3055
0.45,0.005,1388,6987,424,0.0607,0.3055
0.45,0.006,1388,6987,424,0.0607,0.3055
0.45,0.007,1388,6987,424,0.0607,0.3055
0.45,0.008,1388,6987,424,0.0607,0.3055
0.45,0.009,1388,6987,424,0.0607,0.3055
0.45,0.01,1388,6987,424,0.0607,0.3055
0.45,0.011,1388,6987,424,0.0607,0.3055
0.45,0.012,1388,6987,424,0.0607,0.3055
0.45,0.013,1388,6987,424,0.0607,0.3055
0.45,0.014,1388,6987,424,0.0607,0.3055
0.45,0.015,1388,6987,424,0.0607,0.3055
0.45,0.016,1388,6987,424,0.0607,0.3055
0.45,0.017,1388,6987,424,0.0607,0.3055
0.45,0.018,1388,6987,424,0.0607,0.3055
0.45,0.019,1388,6987,424,0.0607,0.3055
0.45,0.02,1388,6987,424,0.0607,0.3055
0.45,0.021,1388,6987,424,0.0607,0.3055
0.45,0.022,1388,6987,424,0.0607,0.3055
0.45,0.023,1388,6987,424,0.0607,0.3055
0.45,0.024,1388,6987,424,0.0607,0.3055
0.45,0.025,1388,6987,424,0.0607,0.3055
0.45,0.026,1388,6987,424,0.0607,0.3055
0.45,0.027,1388,6987,424,0.0607,0.3055
0.45,0.028,1388,6987,424,0.0607,0.3055
0.45,0.029,1388,6987,424,0.0607,0.3055
0.45,0.03,1388,6987,424,0.0607,0.3055
0.45,0.031,1388,6987,424,0.0607,0.3055
0.45,0.032,1388,6987,424,0.0607,0.3055
0.45,0.033,1388,6987,424,0.0607,0.3055
0.45,0.034,1388,6987,424,0.0607,0.3055
0.45,0.035,1388,6987,424,0.0607,0.3055
